name,country,discipline
KARRAR SAAD,Iraq,['Football']
KARRAR MOHAMMED,Iraq,['Football']
NIHAD MOHAMMED,Iraq,['Football']
Camil DOUA,Mauritania,['Swimming']
Caroline CHEW,Singapore,['Equestrian']
Margarita HERNANDEZ FLORES,Mexico,['Athletics']
Arian SALIMI,IR Iran,['Taekwondo']
Mehran BARKHORDARI,IR Iran,['Taekwondo']
Mobina NEMATZADEH,IR Iran,['Taekwondo']
Nahid KIYANICHANDEH,IR Iran,['Taekwondo']
Adam MPALI,Gabon,['Swimming']
Naima-Zahra AMISON,Djibouti,['Swimming']
Paulo STREHLKE DELGADO,Mexico,['Marathon Swimming']
Martha SANDOVAL AYALA,Mexico,['Marathon Swimming']
Alejandra ESTUDILLO TORRES,Mexico,['Diving']
Juan Manuel CELAYA HERNANDEZ,Mexico,['Diving']
Aranza VAZQUEZ MONTANO,Mexico,['Diving']
Reza ALI POUR,IR Iran,['Sport Climbing']
Nima ALAMIAN,IR Iran,['Table Tennis']
Noshad ALAMIYAN,IR Iran,['Table Tennis']
Taha Hussein YASEEN,Iraq,['Athletics']
Tulika MAAN,India,['Judo']
Abraham ANCER,Mexico,['Golf']
Shubhankar SHARMA,India,['Golf']
Gaganjeet BHULLAR,India,['Golf']
Ermias GIRMA,Ethiopia,['Athletics']
Carlos ROJAS,Mexico,['Archery']
Bruno MARTINEZ WING,Mexico,['Archery']
Ana VAZQUEZ,Mexico,['Archery']
Edgar RIVERA,Mexico,['Athletics']
Cecilia TAMAYO-GARZA,Mexico,['Athletics']
Habitam ALEMU,Ethiopia,['Athletics']
Worknesh MESELE,Ethiopia,['Athletics']
Tsige DUGUMA,Ethiopia,['Athletics']
Aditi ASHOK,India,['Golf']
Diksha DAGAR,India,['Golf']
Abdisa FAYISA,Ethiopia,['Athletics']
Ilse GUERRERO,Mexico,['Athletics']
Noel CHAMA,Mexico,['Athletics']
Ricardo ORTIZ,Mexico,['Athletics']
Neda SHAHSAVARI,IR Iran,['Table Tennis']
Mobina FALLAH,IR Iran,['Archery']
Kean Yew LOH,Singapore,['Badminton']
Yong Kai Terry HEE,Singapore,['Badminton']
Wei Han Jessica TAN,Singapore,['Badminton']
Jia Min YEO,Singapore,['Badminton']
Ali LABIB,IR Iran,['Cycling Road']
Farzaneh FASIHI,IR Iran,['Athletics']
Hassan TAFTIAN,IR Iran,['Athletics']
Balraj PANWAR,India,['Rowing']
Shanieka RICKETTS,Jamaica,['Athletics']
Naquille HARRIS,St Kitts and Nevis,['Athletics']
Ali DAVOUDI,IR Iran,['Weightlifting']
Mir Mostafa JAVADI ALIABADI,IR Iran,['Weightlifting']
Diribe WELTEJI,Ethiopia,['Athletics']
Birke HAYLOM,Ethiopia,['Athletics']
Freweyni HAILU,Ethiopia,['Athletics']
Ali AGHAMIRZAEIJENAGHARD,IR Iran,['Canoe Sprint']
Freddy MAYALA,Congo,['Swimming']
Berihu AREGAWI,Ethiopia,['Athletics']
Yomif KEJELCHA,Ethiopia,['Athletics']
Hagos GEBRHIWET,Ethiopia,['Athletics']
Vanessa BOBIMBO,Congo,['Swimming']
Natacha NGOYE,Congo,['Athletics']
Mirabai Chanu SAIKHOM,India,['Weightlifting']
Selemon BAREGA,Ethiopia,['Athletics']
Samuel TEFERA,Ethiopia,['Athletics']
Addisu YIHUNE,Ethiopia,['Athletics']
Biniam MEHARY,Ethiopia,['Athletics']
Ejgayehu TAYE,Ethiopia,['Athletics']
Medina EISA,Ethiopia,['Athletics']
Tsigie GEBRESELAMA,Ethiopia,['Athletics']
ZENG Jian,Singapore,['Table Tennis']
QUEK Izaac,Singapore,['Table Tennis']
Jerome VEGA,Puerto Rico,['Athletics']
Ayden OWENS-DELERME,Puerto Rico,['Athletics']
Rachelle de ORBETA,Puerto Rico,['Athletics']
Gabby SCOTT,Puerto Rico,['Athletics']
Nicholas D'AMOUR,"Virgin Islands, US",['Archery']
Luis CASTRO RIVERA,Puerto Rico,['Athletics']
Macarena CEBALLOS,Argentina,['Swimming']
Jasmine CAMACHO-QUINN,Puerto Rico,['Athletics']
Luc CHEVRIER,Saint Lucia,['Sailing']
Pedro Luis FERNANDEZ GAMBOA,Puerto Rico,['Sailing']
Sebastian C RIVERA,Puerto Rico,['Wrestling']
Ashleyann LOZADA MOTTA,Puerto Rico,['Boxing']
Celia PULIDO ORTIZ,Mexico,['Swimming']
Jaheel HYDE,Jamaica,['Athletics']
Jorge IGA,Mexico,['Swimming']
Agostina HEIN,Argentina,['Swimming']
Mathlynn SASSER,Marshall Islands,['Weightlifting']
Kayla HEPLER,Marshall Islands,['Swimming']
Phillip KINONO,Marshall Islands,['Swimming']
Luis Ramon GARRIDO,Mexico,['Badminton']
Paulina MARTINEZ,Mexico,['Judo']
Prisca AWITI ALCARAZ,Mexico,['Judo']
Mohammad Nabi REZAEI,IR Iran,['Canoe Sprint']
MUSTAFA SAADOON,Iraq,['Football']
Julien ALFRED,Saint Lucia,['Athletics']
Michael JOSEPH,Saint Lucia,['Athletics']
YOUSSEF AMYN,Iraq,['Football']
Gudaf TSEGAY,Ethiopia,['Athletics']
Julyana ALSADEQ,Jordan,['Taekwondo']
Fotyen TESFAY,Ethiopia,['Athletics']
Fatemeh MOJALLALTOPRAGHGHALE,IR Iran,['Rowing']
Saleh ELSHARABATY,Jordan,['Taekwondo']
Said AL KHATRI,Oman,['Shooting']
Issa Samir Hamed AL ADAWI,Oman,['Swimming']
Zaid KAREEM,Jordan,['Taekwondo']
Vishnu SARAVANAN,India,['Sailing']
Nethra KUMANAN,India,['Sailing']
Ulises SARAVIA,Argentina,['Swimming']
Florencia BORELLI,Argentina,['Athletics']
Belen CASETTA,Argentina,['Athletics']
Joaquin GOMEZ,Argentina,['Athletics']
Elian LARREGINA,Argentina,['Athletics']
Nazareno SASIA,Argentina,['Athletics']
Edwin Kwabla GADAYI,Ghana,['Athletics']
Jayhan Jamaud ODLUM-SMITH,Saint Lucia,['Swimming']
Ahmed ABUZRIBA,Libya,['Weightlifting']
Mohamed BUKRAH,Libya,['Rowing']
Sid Ali BOUDINA,Algeria,['Rowing']
Federico GIL,Argentina,['Shooting']
Marcelo Julian GUTIERREZ,Argentina,['Shooting']
Fernanda RUSSO,Argentina,['Shooting']
Jordan CROOKS,Cayman Islands,['Swimming']
